"c_object_ID","NRI","JSG","NZA","ROZ","TZG","NWN","KRG","OPT"
"533","P.1607.1960.19","","","","","","1000",""
"534","P.1607.1960.20","","","","","","1001",""
"535","P.1607.1960.21","","","","","","1002",""
"536","P.1607.1960.22","","","","","","1003",""
"537","P.1607.1961.17","","","","","","1004",""
"538","P.1607.1961.18","","","","","","1005",""
"539","P.1607.1961.19","","","","","","1006",""
"540","P.1607.1962.11","","","","","","1007",""
"541","P.1607.1963.38","","","","","","1008",""
"542","P.1607.1963.39","","","","","","1009",""
"543","P.1607.1963.40","","","","","","1010",""
"544","P.1607.1964.35","","","","","","1011",""
"545","P.1607.1964.36","","","","","","1012",""
"546","P.1607.1965.40","","","","","","1013",""
"547","P.1607.1965.41","","","","","","1014",""
"548","P.1607.1965.42","","","","","","1015",""
"549","P.1607.1966.50","","","","","","1016",""
"550","P.1607.1966.51","","","","","","1017",""
"551","P.1607.1966.52","","","","","","1018",""
"552","P.1607.1967.26","","","","","","1019",""
"553","P.1607.1968.24","","","","","","1020",""
"554","P.1607.1968.25","","","","","","1021",""
"555","P.1607.1969.23","","","","","","1022",""
"556","P.1607.1970.30","","","","","","1023",""
"557","P.1607.1970.31","","","","","","1024",""
"558","P.1607.1971.48","","","","","","1025",""
"559","P.1607.1971.49","","","","","","1026",""
"560","P.1607.1971.50","","","","","","1027",""
"561","P.1607.1971.51","","","","","","1028",""
"562","P.1607.1972.54","","","","","","1029",""
"563","P.1607.1972.55","","","","","","1030",""
"564","P.1607.1973.65","","","","","","1031",""
"565","P.1607.1973.66","","","","","","1032",""
"566","P.1607.1973.67","","","","","","1033",""
"567","P.1607.1974.55","","","","","","1034",""
"568","P.1607.1974.56","","","","","","1035",""
"569","P.1607.1974.57","","","","","","1036",""
"570","P.1607.1974.58","","","","","","1037",""
"571","P.1607.1974.59","","","","","","1038",""
"572","P.1607.1974.60","","","","","","1039",""
"573","P.1607.1974.61","","","","","","1040",""
"574","P.1607.1974.62","","","","","","1041",""
"575","P.1607.1974.63","","","","","","1042",""
"576","P.1607.1974.64","","","","","","1043",""
"577","P.1607.1975.54","","","","","","1044",""
"578","P.1607.1975.55","","","","","","1045",""
"579","P.1607.1975.56","","","","","","1046",""
"580","P.1607.1975.57","","","","","","1047",""
"581","P.1607.1975.58","","","","","","1048",""
"582","P.1607.1975.59","","","","","","1049",""
"583","P.1607.1976.40","","","","","","1050",""
"584","P.1607.1976.41","","","","","","1051",""
"585","P.1607.1976.42","","","","","","1052",""
"586","P.1607.1977.47","","","","","","1053",""
"587","P.1607.1977.48","","","","","","1054",""
"588","P.1607.1977.49","","","","","","1055",""
"589","P.1607.1977.50","","","","","","1056",""
"590","P.1607.1977.51","","","","","","1057",""
"591","P.1607.1977.52","","","","","","1058",""
"592","P.1607.1977.53","","","","","","1059",""
"593","P.1607.1978.44","","","","","","1060",""
"594","P.1607.1978.45","","","","","","1061",""
"595","P.1607.1978.46","","","","","","1062",""
"596","P.1607.1979.60","","","","","","1063",""
"597","P.1607.1979.61","","","","","","1064",""
"598","P.1607.1979.87","","","","","","1065",""
"599","P.1607.1980.45","","","","","","1066",""
"600","P.1607.1980.46","","","","","","1067",""
"601","P.1607.1980.47","","","","","","1068",""
"602","P.1607.1980.48","","","","","","1069",""
"603","P.1607.1980.65","","","","","","1070",""
"604","P.1607.1980.66","","","","","","1071",""
"605","P.1607.1980.67","","","","","","1072",""
"606","P.1607.1981.65","","","","","","1073",""
"607","P.1607.1981.66","","","","","","1074",""
"608","P.1607.1981.67","","","","","","1075",""
"609","P.1607.1981.68","","","","","","1076",""
"610","P.1607.1981.69","","","","","","1077",""
"611","P.1607.1981.106","","","","","","1078",""
"612","P.1607.1982.87","","","","","","1079",""
"613","P.1607.1982.88","","","","","","1080",""
"614","P.1607.1982.89","","","","","","1081",""
"615","P.1607.1982.90","","","","","","1082",""
"616","P.1607.1982.91","","","","","","1083",""
"617","P.1607.1982.92","","","","","","1084",""
"618","P.1607.1983.71","","","","","","1085",""
"619","P.1607.1983.72","","","","","","1086",""
"620","P.1607.1984.103","","","","","","1087",""
"621","P.1607.1984.104","","","","","","1088",""
"622","P.1607.1984.105","","","","","","1089",""
"623","P.1607.1984.106","","","","","","1090",""
"624","P.1607.1984.107","","","","","","1091",""
"625","P.1607.1984.108","","","","","","1092",""
